frame,width,height,batches,vertices,clears,snapshot,color_differences,depth_differences,mirror_us,snapshot_us
2073,2736,4096,4884,7842516,1383,0,0,0,341.100,0.000
2074,2736,4096,4890,7845066,1385,0,0,0,341.300,0.000
2075,2736,4096,4896,7847616,1387,0,0,0,341.600,0.000
2076,2736,4096,4902,7850166,1389,0,0,0,342.000,0.000
2077,2736,4096,4908,7852716,1391,0,0,0,342.300,0.000
2078,2736,4096,4914,7855266,1393,0,0,0,342.600,0.000
2079,2736,4096,4920,7857816,1395,0,0,0,343.000,0.000
2080,2736,4096,4926,7860366,1397,0,0,0,343.300,0.000
2081,2736,4096,4932,7862916,1399,0,0,0,343.600,0.000
2082,2736,4096,4938,7865466,1401,0,0,0,343.900,0.000
2083,2736,4096,4944,7868016,1403,0,0,0,344.200,0.000
2084,2736,4096,4950,7870566,1405,0,0,0,344.500,0.000
2085,2736,4096,4956,7873116,1407,0,0,0,344.800,0.000
2086,2736,4096,4962,7875666,1409,0,0,0,345.100,0.000
2087,2736,4096,4968,7878216,1411,0,0,0,345.600,0.000
2088,2736,4096,4974,7880766,1413,0,0,0,346.000,0.000
2089,2736,4096,4980,7883316,1415,0,0,0,346.300,0.000
2090,2736,4096,4986,7885866,1417,0,0,0,346.600,0.000
2091,2736,4096,4992,7888416,1419,0,0,0,346.900,0.000
2092,2736,4096,4998,7890966,1421,0,0,0,347.100,0.000
2093,2736,4096,5004,7893516,1423,0,0,0,347.300,0.000
2094,2736,4096,5010,7896066,1425,0,0,0,347.600,0.000
2095,2736,4096,5016,7898616,1427,0,0,0,348.000,0.000
2096,2736,4096,5022,7901166,1429,0,0,0,348.300,0.000
2097,2736,4096,5028,7903716,1431,0,0,0,348.600,0.000
2098,2736,4096,5034,7906266,1433,0,0,0,348.900,0.000
2099,2736,4096,5041,7908816,1435,0,0,0,349.300,0.000
2100,2736,4096,5047,7911366,1437,0,0,0,349.600,0.000
2101,2736,4096,5054,7913916,1439,0,0,0,350.100,0.000
2102,2736,4096,5061,7916466,1441,0,0,0,350.500,0.000
2103,2736,4096,5067,7919016,1443,0,0,0,350.800,0.000
2104,2736,4096,5073,7921566,1445,0,0,0,351.100,0.000
2105,2736,4096,5079,7924116,1447,0,0,0,353.000,0.000
2106,2736,4096,5085,7926666,1449,0,0,0,355.700,0.000
2107,2736,4096,5091,7929216,1451,0,0,0,356.000,0.000
2108,2736,4096,5097,7931766,1453,0,0,0,356.300,0.000
2109,2736,4096,5103,7934316,1455,0,0,0,356.600,0.000
2110,2736,4096,5109,7936866,1457,0,0,0,356.800,0.000
2111,2736,4096,5116,7939416,1459,0,0,0,357.500,0.000
2112,2736,4096,5122,7941966,1461,0,0,0,357.800,0.000
2113,2736,4096,5128,7944516,1463,0,0,0,358.200,0.000
2114,2736,4096,5134,7947066,1465,0,0,0,358.500,0.000
2115,2736,4096,5141,7949616,1467,0,0,0,359.000,0.000
2116,2736,4096,5147,7952166,1469,0,0,0,359.600,0.000
2117,2736,4096,5153,7954716,1471,0,0,0,359.900,0.000
2118,2736,4096,5159,7957266,1473,0,0,0,360.400,0.000
2119,2736,4096,5165,7959816,1475,0,0,0,360.600,0.000
2120,2736,4096,5172,7962366,1477,0,0,0,361.100,0.000
2121,2736,4096,5178,7964916,1479,0,0,0,361.400,0.000
2122,2736,4096,5184,7967466,1481,0,0,0,361.600,0.000
2123,2736,4096,5190,7970016,1483,0,0,0,361.800,0.000
