frame,x,y,z,m0,m1,m2,m3,m4,m5,m6,m7,m8
6016,128a6b0a,0e40443f,13582205,fc6e38a8,80000000,ff7e4324,80000000,00000000,80000000,ff81bcdc,80000000,fc6e38a8
6017,128a6b0a,0e40443f,13582205,fc6e38a8,80000000,ff7e4324,80000000,00000000,80000000,ff81bcdc,80000000,fc6e38a8
6018,128a01f6,0e3ff014,13582645,fc553dea,80000000,ff7e9bd0,80000000,00000000,80000000,ff816430,80000000,fc553dea
6019,128a01f6,0e3ff014,13582645,fc553dea,80000000,ff7e9bd0,80000000,00000000,80000000,ff816430,80000000,fc553dea
6020,128998fe,0e3fa7b1,135829e0,fc3c3ac9,80000000,ff7eeaa7,80000000,00000000,80000000,ff811559,80000000,fc3c3ac9
6021,128998fe,0e3fa7b1,135829e0,fc3c3ac9,80000000,ff7eeaa7,80000000,00000000,80000000,ff811559,80000000,fc3c3ac9
6022,1289303f,0e3f6dcb,13582d5c,fc16a93f,80000000,ff7f4e77,80000000,00000000,80000000,ff80b189,80000000,fc16a93f
6023,1289303f,0e3f6dcb,13582d5c,fc16a93f,80000000,ff7f4e77,80000000,00000000,80000000,ff80b189,80000000,fc16a93f
6024,1288c77b,0e3f3e71,13582f5c,fb7b2bbb,80000000,ff7f84a9,80000000,00000000,80000000,ff807b57,80000000,fb7b2bbb
6025,1288c77b,0e3f3e71,13582f5c,fb7b2bbb,80000000,ff7f84a9,80000000,00000000,80000000,ff807b57,80000000,fb7b2bbb
6026,12885ef5,0e3f1fd5,135830ee,fb2fdfc2,80000000,ff7fc393,80000000,00000000,80000000,ff803c6d,80000000,fb2fdfc2
6027,12885ef5,0e3f1fd5,135830ee,fb2fdfc2,80000000,ff7fc393,80000000,00000000,80000000,ff803c6d,80000000,fb2fdfc2
6028,1287f680,0e3f19b0,13583158,fa7b4a23,80000000,ff7fe122,80000000,00000000,80000000,ff801ede,80000000,fa7b4a23
6029,1287f680,0e3f19b0,13583158,fa7b4a23,80000000,ff7fe122,80000000,00000000,80000000,ff801ede,80000000,fa7b4a23
6030,12878e4b,0e3f2093,135830cf,fa16ca47,80000000,ff7ff4ed,80000000,00000000,80000000,ff800b13,80000000,fa16ca47
6031,12878e4b,0e3f2093,135830cf,fa16ca47,80000000,ff7ff4ed,80000000,00000000,80000000,ff800b13,80000000,fa16ca47
6032,1287266a,0e3f212e,1358302c,80000000,80000000,00000000,80000000,00000000,80000000,ff800000,80000000,80000000
6033,1287266a,0e3f212e,1358302c,80000000,80000000,00000000,80000000,00000000,80000000,ff800000,80000000,80000000
6034,1286beef,0e3f23ca,13582d70,f9b6ef80,80000000,ff7ffb16,80000000,00000000,80000000,ff8004ea,80000000,f9b6ef80
6035,1286beef,0e3f23ca,13582d70,f9b6ef80,80000000,ff7ffb16,80000000,00000000,80000000,ff8004ea,80000000,f9b6ef80
6036,128657f4,0e3f4795,13582a03,fa84b5dd,80000000,ff7fe122,80000000,00000000,80000000,ff801ede,80000000,fa84b5dd
6037,128657f4,0e3f4795,13582a03,fa84b5dd,80000000,ff7fe122,80000000,00000000,80000000,ff801ede,80000000,fa84b5dd
6038,1285f146,0e3f7839,13582683,fb9debd9,80000000,ff7f9c20,80000000,00000000,80000000,ff8063e0,80000000,fb9debd9
6039,1285f146,0e3f7839,13582683,fb9debd9,80000000,ff7f9c20,80000000,00000000,80000000,ff8063e0,80000000,fb9debd9
6040,12858b41,0e3fb994,135820a7,fce956c1,80000000,ff7f4e77,80000000,00000000,80000000,ff80b189,80000000,fce956c1
6041,12858b41,0e3fb994,135820a7,fce956c1,80000000,ff7f4e77,80000000,00000000,80000000,ff80b189,80000000,fce956c1
6042,128525e1,0e400692,135819d0,fcb742dd,80000000,ff7ec472,80000000,00000000,80000000,ff813b8e,80000000,fcb742dd
6043,128525e1,0e400692,135819d0,fcb742dd,80000000,ff7ec472,80000000,00000000,80000000,ff813b8e,80000000,fcb742dd
6044,1284c130,0e405eb3,13581178,fc854d62,80000000,ff7e132b,80000000,00000000,80000000,ff81ecd5,80000000,fc854d62
6045,1284c130,0e405eb3,13581178,fc854d62,80000000,ff7e132b,80000000,00000000,80000000,ff81ecd5,80000000,fc854d62
6046,12845d30,0e40bdca,1358082b,fde3892f,80000000,ff7cfe7a,80000000,00000000,80000000,ff830186,80000000,fde3892f
6047,12845d30,0e40bdca,1358082b,fde3892f,80000000,ff7cfe7a,80000000,00000000,80000000,ff830186,80000000,fde3892f
6048,1283fa17,0e412816,1357fcd5,fdcabf77,80000000,ff7bf530,80000000,00000000,80000000,ff840ad0,80000000,fdcabf77
6049,1283fa17,0e412816,1357fcd5,fdcabf77,80000000,ff7bf530,80000000,00000000,80000000,ff840ad0,80000000,fdcabf77
6050,12839806,0e419699,1357f041,fdabeb18,80000000,ff7a730c,80000000,00000000,80000000,ff858cf4,80000000,fdabeb18
6051,12839806,0e419699,1357f041,fdabeb18,80000000,ff7a730c,80000000,00000000,80000000,ff858cf4,80000000,fdabeb18
6052,128336e4,0e420aae,1357e233,fd8d4995,80000000,ff78b47c,80000000,00000000,80000000,ff874b84,80000000,fd8d4995
6053,128336e4,0e420aae,1357e233,fd8d4995,80000000,ff78b47c,80000000,00000000,80000000,ff874b84,80000000,fd8d4995
6054,1282d715,0e42822a,1357d266,fef77165,80000000,ff76ba17,80000000,00000000,80000000,ff8945e9,80000000,fef77165
6055,1282d715,0e42822a,1357d266,fef77165,80000000,ff76ba17,80000000,00000000,80000000,ff8945e9,80000000,fef77165
6056,12827849,0e42f570,1357c19f,fee55f78,80000000,ff740bed,80000000,00000000,80000000,ff8bf413,80000000,fee55f78
6057,12827849,0e42f570,1357c19f,fee55f78,80000000,ff740bed,80000000,00000000,80000000,ff8bf413,80000000,fee55f78
