scene,frame,generation,pages,palettes,bytes,hash,stage_us,encode_us,queue_us,commit_us
2383,3768,267,1,6,10388,7b362a258955c02a,1381.400,4.900,10.700,4.300
2384,3769,268,3,5,17556,fb8186dca6eb2b89,1356.400,5.300,10.600,11.600
2385,3770,269,1,7,11420,c31c25e095fc4ec1,1251.300,4.500,9.200,4.100
2386,3771,270,3,7,19620,e01ae2eab38d8c73,1233.700,4.600,9.400,11.500
2387,3772,271,1,7,11420,07f43ff4d5a75e0b,1248.800,4.300,9.200,4.200
2388,3773,272,3,7,19620,caa8f1dfdffa70de,1307.300,5.800,9.400,11.700
2389,3774,273,0,7,7320,caa8f1dfdffa70de,1441.900,3.700,8.600,0.200
2390,3775,274,3,7,19620,323415a233f60667,1727.500,5.800,12.000,19.100
2391,3776,275,0,7,7320,323415a233f60667,1299.100,4.300,8.800,0.300
2392,3777,276,3,6,18588,8be7954998c52e7a,1239.600,4.800,10.200,12.100
2393,3778,277,0,6,6288,8be7954998c52e7a,1282.300,3.700,8.200,0.300
2394,3779,278,3,7,19620,a30fc0e3f3631e50,1256.500,9.300,10.600,11.400
2395,3780,279,0,8,8352,a30fc0e3f3631e50,1518.900,3.900,9.200,0.200
2396,3781,280,3,8,20652,2078ee18bd0c3651,1324.200,5.600,9.700,11.500
2397,3782,281,3,8,20652,73e7b9619e4dd140,1345.800,10.600,9.100,11.500
2398,3783,282,0,8,8352,73e7b9619e4dd140,1278.500,4.200,9.600,0.300
2399,3784,283,3,7,19620,68800d1c4d5b8ec3,1223.800,9.000,9.500,11.400
2400,3785,284,0,7,7320,68800d1c4d5b8ec3,1269.400,4.500,8.200,0.200
2401,3786,285,3,7,19620,a13effcf38f0e38d,1241.800,5.000,10.500,11.400
2402,3787,286,0,7,7320,a13effcf38f0e38d,1212.300,4.000,8.100,0.100
2403,3788,287,3,7,19620,b8f1e45261b443a2,1232.500,5.700,9.900,11.500
2404,3789,288,3,7,19620,fabb55bc2b209b50,1257.000,5.500,9.200,11.600
2405,3790,289,0,7,7320,fabb55bc2b209b50,1383.700,5.300,8.500,0.200
2406,3791,290,3,8,20652,8aa3fa8543e342ad,1216.900,6.500,17.000,11.500
2407,3792,291,3,8,20652,06781c98f98f461b,1281.700,5.700,10.100,11.400
2408,3793,292,0,8,8352,06781c98f98f461b,1236.600,4.800,8.500,0.300
2409,3794,293,3,7,19620,cabc1d37f5be48db,1289.800,4.900,8.200,11.400
2410,3795,294,0,7,7320,cabc1d37f5be48db,1211.900,3.700,8.500,0.200
2411,3796,295,3,7,19620,e077839b50587911,1258.800,6.300,8.900,11.700
2412,3797,296,3,7,19620,eb4a83270737b547,1233.300,10.100,8.700,11.800
2413,3798,297,0,7,7320,eb4a83270737b547,1240.200,3.900,8.300,0.200
2414,3799,298,3,7,19620,263bbccb11bb8b45,1514.600,6.400,10.700,12.100
2415,3801,299,3,7,19620,9b2b3d3db95a0071,1307.700,5.500,9.500,11.600
2416,3802,300,3,7,19620,1d05f81633fddbb8,1347.600,6.100,9.600,11.500
2417,3803,301,0,7,7320,1d05f81633fddbb8,1243.100,4.000,8.300,0.300
2418,3804,302,3,7,19620,33fab2ca96a97208,1307.000,6.400,10.900,12.200
2419,3805,303,3,7,19620,b7d2ba23b207ab3a,1456.500,5.400,9.900,11.600
2420,3806,304,0,8,8352,b7d2ba23b207ab3a,1218.500,3.700,7.600,0.300
2421,3807,305,3,8,20652,49513c5378b0ba6a,1253.800,5.000,9.100,11.400
2422,3808,306,3,8,20652,7f21b31a97dbf4ed,1290.600,5.800,9.600,11.400
2423,3809,307,0,8,8352,7f21b31a97dbf4ed,1241.500,3.900,9.000,0.300
2424,3810,308,3,8,20652,fcb2e89b9db51b98,1242.200,5.700,9.500,11.500
2425,3811,309,3,9,21684,6755cf18aee524d8,1503.700,8.500,12.600,12.000
2426,3812,310,0,8,8352,6755cf18aee524d8,1297.700,4.900,9.600,0.300
2427,3813,311,3,8,20652,ae4800d4f4324361,1452.100,6.000,9.200,11.400
2428,3814,312,0,9,9384,ae4800d4f4324361,1367.200,5.400,10.700,0.300
2429,3815,313,3,8,20652,f3374c22323889af,1244.400,6.100,9.700,11.500
2430,3816,314,3,8,20652,66be095f2fb1135d,1202.300,5.800,11.000,11.400
2431,3817,315,0,8,8352,66be095f2fb1135d,1233.200,4.200,9.700,0.300
2432,3818,316,3,8,20652,52d9ddb8ccc61d48,1223.500,4.900,9.200,11.700
2433,3819,317,3,8,20652,32bf81b1e98585f7,1233.900,6.100,9.000,11.500
2434,3820,318,0,7,7320,32bf81b1e98585f7,1227.600,4.300,10.600,0.200
2435,3821,319,3,8,20652,5847326317170a29,1230.400,6.400,12.200,11.800
2436,3822,320,3,8,20652,3c6d00d8850ee3cd,1248.100,6.000,9.100,11.400
2437,3823,321,0,8,8352,3c6d00d8850ee3cd,1230.200,4.200,9.000,0.200
2438,3824,322,3,7,19620,dee5aa23e908a587,1217.700,4.500,9.400,11.400
2439,3825,323,3,7,19620,5375314a3e17176e,1248.200,5.000,10.200,12.000
2440,3826,324,0,6,6288,5375314a3e17176e,1230.100,3.200,8.100,0.100
2441,3827,325,3,6,18588,ca6d023f4396fa17,1245.200,6.000,9.000,11.500
2442,3828,326,0,6,6288,ca6d023f4396fa17,1208.800,3.300,7.800,0.200
